"Person_ID","Crash_Date","Crash_Location","Victim","Crash_Circumstances","Longitude","Latitude","Location"
"O2217438","12/31/2025 05:20:00 PM","10700 W IRVING PARK RD","DRIVER","UNIT 1 LOST CONTROL, CROSSED MEDIAN DITCH, AND STRUCK ONCOMING UNIT 2. UNIT 1 DRIVER DIED.","-87.89307885","41.95517597","POINT (-87.89307885 41.95517597)"
"O2213537","12/21/2025 01:15:00 AM","11700 S MARSHFIELD AVE","PEDESTRIAN","DRIVER STRUCK TWO PEDESTRIANS IN THE ROADWAY.","-87.6626006","41.68096172","POINT (-87.6626006 41.68096172)"
"O2213536","12/21/2025 01:15:00 AM","11700 S MARSHFIELD AVE","PEDESTRIAN","DRIVER STRUCK TWO PEDESTRIANS IN THE ROADWAY.","-87.6626006","41.68096172","POINT (-87.6626006 41.68096172)"
"O2210352","12/17/2025 01:39:00 AM","3962 W FIFTH AVE","PEDESTRIAN","DRIVER STRUCK PEDESTRIAN IN THE ROADWAY.","-87.72537435","41.87312171","POINT (-87.72537435 41.87312171)"
"O2209531","12/15/2025 07:40:00 PM","9100 S COTTAGE GROVE AVE","PEDESTRIAN","DRIVER STRUCK PEDESTRIAN CROSSING MIDBLOCK.","-87.60479254","41.72930683","POINT (-87.60479254 41.72930683)"
"O2207273","12/12/2025 05:50:00 AM","6855 N SHERIDAN RD","PEDESTRIAN","DRIVER STRUCK PEDESTRIAN CROSSING THE STREET AFTER EXITING A RIDESHARE VEHICLE.","-87.66113212","42.00673143","POINT (-87.66113212 42.00673143)"
"O2207214","12/11/2025 11:50:00 PM","6302 S COAST GUARD DR","DRIVER","DRIVER STRUCK MEDIAN BARRIER AND VEHICLE CAUGHT FIRE.","-87.57508884","41.77965372","POINT (-87.57508884 41.77965372)"
"P485838","12/08/2025 01:30:00 AM","3808 W DIVERSEY AVE","PASSENGER","UNIT 1 DRIVER STRUCK PARKED VEHICLES AND ONCOMING TRUCK. UNIT 1 PASSENGER DIED.","-87.72248542","41.9319573","POINT (-87.72248542 41.9319573)"
"O2201421","12/03/2025 07:55:00 AM","7000 S SOUTH SHORE DR","PEDESTRIAN","PEDESTRIAN FELL INTO THE STREET AND WAS STRUCK BY CTA BUS.","-87.56664989","41.76802847","POINT (-87.56664989 41.76802847)"
"P484380","11/26/2025 01:07:00 AM","3706 W NORTH AVE","PASSENGER","DRIVER TRAVELING AT A HIGH RATE OF SPEED TURNED RIGHT AND STRUCK A FIXED OBJECT ON PRIVATE PROPERTY.","-87.71936377","41.91007217","POINT (-87.71936377 41.91007217)"
"O2195732","11/23/2025 04:22:00 AM","3900 S LAKE SHORE DR SB","DRIVER","UNIT 2 WAS REAR-ENDED BY UNIT 1 AND CRASHED INTO A WALL. UNIT 2 DRIVER AND PASSENGER DIED.","-87.60097185","41.82588259","POINT (-87.60097185 41.82588259)"
"P484075","11/23/2025 04:22:00 AM","3900 S LAKE SHORE DR SB","PASSENGER","UNIT 2 WAS REAR-ENDED BY UNIT 1 AND CRASHED INTO A WALL. UNIT 2 DRIVER AND PASSENGER DIED.","-87.60097185","41.82588259","POINT (-87.60097185 41.82588259)"
"O2195245","11/16/2025 03:45:00 AM","5500 N WESTERN AVE","MOTORCYCLIST","UNIT 1 STRUCK MEDIAN, WAS EJECTED FROM VEHICLE, AND WAS STRUCK BY UNIT 2.","-87.68951566","41.98146433","POINT (-87.68951566 41.98146433)"
"O2186729","11/09/2025 03:39:00 AM","8720 S LAFAYETTE AVE","DRIVER","DRIVER STRUCK MEDIAN BARRIER.","-87.62556965","41.73552287","POINT (-87.62556965 41.73552287)"
"O2186637","11/08/2025 08:00:00 PM","235 W 95TH ST","PEDESTRIAN","DRIVER STRUCK PEDESTRIAN IN THE ROADWAY AT A HIGH RATE OF SPEED.","-87.63010533","41.72152938","POINT (-87.63010533 41.72152938)"
"P482176","11/08/2025 07:25:00 AM","3758 W MARQUETTE RD","PASSENGER","UNIT 1 SIDESWIPED UNIT 2 AND STRUCK PARKED VEHICLES. UNIT 1 PASSENGER DIED.","-87.71755367","41.77156171","POINT (-87.71755367 41.77156171)"
"O2183550","11/04/2025 02:57:00 PM","2800 W 87TH ST","DRIVER","UNIT 1 DISREGARDED TRAFFIC SIGNAL AND STRUCK LEFT-TURNING UNIT 2 AT A HIGH RATE OF SPEED. UNIT 2 DRIVER AND PASSENGER DIED.","-87.69237074","41.73546846","POINT (-87.69237074 41.73546846)"
